name,age,club,positions,nationality,rating_merged,goals_p90_merged,assists_p90_merged,xg_per_90_merged,shots_p90_merged,key_passes_p90_merged,passes_p90_merged,accurate_crosses_p90_merged,interceptions_p90_merged,tackles_p90_merged,blocks_p90_merged,dribbles_won_p90_merged,aerial_won_p90_merged,pass_success_pct_merged,dispossessed_p90_merged,turnovers_p90_merged,goals_p90_pct_merged,assists_p90_pct_merged,xg_per_90_pct_merged,key_passes_p90_pct_merged,tackles_p90_pct_merged,interceptions_p90_pct_merged,pass_success_pct_pct_merged,dribbles_won_p90_pct_merged,aerial_won_p90_pct_merged
Joe Rodon,28,Leeds,D(C),gb-wls,6.85943257504519,0.0330086404970713,0,0.0437187793275299,0.50580887349924,0.20047894890133,69.7860910650141,0,0.879583185010194,1.03249085790104,0.648522701530695,0.0927154461020679,2.74311510954338,90.9079587574938,0.0985405003074334,0.328630141419372,0.222423370052917,0,0.222216096282679,0.080154896894024,0.229138453261315,0.525778818370517,0.952209391593637,0.0573307832581692,0.842502852890173
Joe Rothwell,31,Leeds,M(CL),gb-eng,6.80714711615934,0.0354015453055491,0.199765862795598,0.0116236759541091,0.651557012409272,1.94539920393351,50.8526340435495,1.69927417466635,1.09323343479279,1.16993678295481,0.135705923671271,1.14633575275111,0.375087801451651,86.5053590273752,0.468649028330602,0.918754390072583,0.230990765857085,0.842497723684203,0.185092446313326,0.887276871064915,0.290157798738643,0.629864840144247,0.889179306710482,0.775739576491602,0.0941270446712565
Joe Scally,23,Borussia M.Gladbach,"D(CLR),M(LR)",us,6.50665071234979,0.025579255088783,0.0682113469034214,0.0343319889562581,0.43667442615851,0.529246968384582,38.9931382633175,0.39099718492854,0.638263317453443,1.55911650064963,0.29172531398874,0.749106756171503,0.925725422260719,81.6545002763851,0.757024144651364,1.21745073624946,0.150467762787609,0.334061569770849,0.149786002721418,0.293052200160986,0.510013094125552,0.347417977481267,0.566280277559407,0.574851679152734,0.382541963897302
Joe Ward,30,Derby,"D(R),M(CR)",gb-eng,6.72054671249219,0.0215012661856754,0.183835825887524,0.017048353958622,0.800922165416408,1.44703521429595,31.1101820440537,1.51476420278083,1.12774141143867,1.55991686177075,0.2053370920732,0.812747861818529,1.01700989058245,76.7150600986078,0.65901380859095,1.35888002293468,0.155584620841656,0.784828015047811,0.278728621230348,0.827938931415769,0.526025078206728,0.608906716859486,0.446104255522602,0.641508630299911,0.315303025611475
Joe Williams,29,Bristol City,M(C),gb-eng,6.63412309533853,0.0221872000986098,0.170366000757182,0.0232971147835427,0.759119203373863,1.29002720573345,54.3974678417665,0.706820803141426,0.970690004314178,2.51824721119221,0.589545602620203,0.503174002236329,1.44533760642372,80.8441787075083,1.01189480449731,1.58400760704003,0.131157017818692,0.80386311044751,0.178056788391228,0.728522967378859,0.855267423130539,0.568543052118399,0.600126036958515,0.409460045680137,0.531505477760865
Joe Willock,26,Newcastle,M(C),gb-eng,6.64639430478206,0.0759810207745576,0.136573480379584,0.195292190305206,1.76583739420364,1.31956912028725,28.1841497819954,0.272185175686073,0.806937676327263,2.25923313670172,0.327006924852526,1.32053090536035,0.573223903565017,84.4315800980245,1.13971531161836,2.5285329571685,0.442065282307464,0.589044158199077,0.738408840064163,0.710790241065012,0.725890204045536,0.451893588915873,0.678134662946631,0.784880754598639,0.218266688326814
Joe Worrall,29,Nottingham Forest,D(C),gb-eng,6.81276415729257,0.0173060282665128,0.0147101240265359,0.0119100086530141,0.430054802422844,0.248341505624459,51.486299394289,0.0294202480530718,1.50908566483992,2.00576867608884,0.839342370925873,0.331410441303721,2.31987308912605,77.7510771012206,0.260455725411018,0.530429766368618,0.148280056683513,0.137127058608342,0.279603809350511,0.103662797886873,0.720278314568916,0.799060778561057,0.438182262525036,0.232936343162652,0.7826528074219
Joedrick Pupe,28,FCV Dender EH,D(C),be,6.7128,0,0.207182320441989,0.0440883977900553,0.74585635359116,0.580110497237569,53.121546961326,0.331491712707182,1.49171270718232,1.45027624309392,0.580110497237569,0.331491712707182,1.9475138121547,78.003120124805,0.621546961325967,1.16022099447514,0,0.851851851851852,0.222222222222222,0.228395061728395,0.376543209876543,0.851851851851852,0.407407407407407,0.160493827160494,0.703703703703704
Joel Chima Fujita,24,St. Pauli,AM(C),jp,6.70694301882031,0.0230846179495729,0.12811962962013,0.0346545130428091,0.86105624951907,1.28004206530382,46.1219124323492,0.105035011670557,1.40123630953908,2.31077025675225,0.301254264241927,0.973016646574499,0.584040834124195,80.8773505317677,1.04111626952574,1.62400287275246,0.129689078893269,0.629535658000042,0.126645711769246,0.688863781400127,0.834639340679308,0.829503971791775,0.539625452614601,0.667759502870657,0.225640148081292
Joël Ito,27,RAAL La Louviere,AM(C),null,6.5025,0,0.0499168053244592,0.0697416798732171,0.848585690515807,0.766722129783694,22.522462562396,0.287520798668885,0.527121464226289,2.39600665557404,0.191680532445923,0.910482529118136,0.449251247920133,76.2331838565022,1.10216306156406,2.58768718801997,0,0.424870466321244,0.367875647668394,0.455958549222798,0.865284974093264,0.264248704663212,0.243523316062176,0.751295336787565,0.155440414507772
Joel Latibeaudiere,26,Coventry,"D(CR),DMC,M(LR)",jm,6.60515889900331,0.0360985140091993,0.0343518117184316,0.0173003292857281,0.374958758418135,0.510037068904171,56.9576327655473,0.249778427579782,0.965926366794542,1.81074804142919,0.524592921327235,0.280054600619756,1.86082017376453,88.6560093667029,0.357491735510458,1.0369589266191,0.232803337077184,0.241378820479614,0.141116719347699,0.294048787257998,0.630448232165947,0.589048186123639,0.928731245397879,0.210498723473238,0.643653517865817
Joel Nouble,30,Livingston,"AM(CLR),FW",gb-eng,6.62015993342757,0.130705394190871,0.0593116914815719,0.0567634854771784,1.11484012692214,0.936905052477423,20.3548938247498,0.341591408347571,0.274591164266537,0.92921649987796,0.159262875274591,1.46192335855504,2.43177935074445,67.8695372840795,2.8843055894557,3.41261898950452,0.380820654679576,0.425847234026007,0.283757436384542,0.535536336216234,0.199947785609936,0.135490787492987,0.322523843645675,0.916151466168963,0.71615924278025
Joel Ordóñez,21,Club Brugge,D(C),ec,6.61097268588369,0.0874173539636017,0,0.0920107525049417,0.598118737645696,0.2009065503374,68.3941108308909,0.0306727557767023,0.929384500034081,1.08274827891759,0.532172312725786,0.161031967827687,2.12715561311431,91.8026168004485,0.305193919978188,0.52450412378161,0.460005459823342,0,0.448132345346946,0.0888034040360443,0.247818794645044,0.537425658456845,0.980897363400461,0.112025627814828,0.720715545205166
Joël Piroe,26,Leeds,"AM(CR),FW",nl,6.88102271184431,0.508000977218592,0.130550296219386,0.266718423624259,2.98250167959445,0.973401331460331,24.4848225737495,0.0284004153179014,0.247358455994625,0.67748732669639,0.0503878336285348,0.708178098088316,0.666951688755879,80.1418355360804,1.09891284431686,1.92939595675808,0.96300090452675,0.682720084453598,0.590613373013885,0.595778271793411,0.0967773814757495,0.103224227671455,0.582279413269354,0.563644423837754,0.217107000251156
Joël Schmied,27,FC Koln,D(C),ch,6.24384615384615,0,0,0.0201298429319372,0.37696335078534,0.18848167539267,35.5287958115183,0.0942408376963351,0.942408376963351,1.03664921465969,0.848167539267016,0.0942408376963351,1.50785340314136,87.2679045092838,0.18848167539267,0.848167539267016,0,0,0.0742574257425743,0.0594059405940594,0.227722772277228,0.599009900990099,0.806930693069307,0.0891089108910891,0.623762376237624
Joel Silva,23,Boavista,"D(L),M(CL)",null,6.64966666666666,0.075,0.0375,0.058065,0.7875,0.825,29.175,0.6375,1.2375,2.6625,0.2625,0.5625,0.975,80.2056555269923,0.7875,1.3125,0.483516483516484,0.318681318681319,0.373626373626374,0.510989010989011,0.906593406593406,0.752747252747253,0.445054945054945,0.478021978021978,0.428571428571428
Joël Veltman,34,Brighton,"D(CR),M(R)",nl,6.6446041241951,0.030650471109093,0.030650471109093,0.0332598478828471,0.399185897539854,0.375833157647211,47.3126510224932,0.242284676386163,1.05598170702042,2.52501500089194,0.399185897539854,0.250312180724259,1.40408348604512,82.9741564123474,0.371454518917341,0.966949386179719,0.237612264201365,0.262656533786585,0.188277756114268,0.199146696102389,0.825564977846824,0.639885898343902,0.550329396429722,0.179046540285985,0.59876217196442
