competition_code,season_id,club_id,club_name,player_id,name,profile_url,position_detail,age,nationalities,market_value_text,market_value_eur,source_url
GB1,2025,31,Liverpool FC,1108466,Rio Ngumoha,https://www.transfermarkt.pt/rio-ngumoha/profil/spieler/1108466,Extremo Esquerdo,17,Inglaterra|Nigéria,"20,00 M €",20000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,148455,Mohamed Salah,https://www.transfermarkt.pt/mohamed-salah/profil/spieler/148455,Extremo Direito,33,Egito,"30,00 M €",30000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,341092,Federico Chiesa,https://www.transfermarkt.pt/federico-chiesa/profil/spieler/341092,Extremo Direito,28,Itália,"15,00 M €",15000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,349066,Alexander Isak,https://www.transfermarkt.pt/alexander-isak/profil/spieler/349066,Ponta de Lança,26,Suécia|Eritreia,"100,00 M €",100000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,31,Liverpool FC,709726,Hugo Ekitiké,https://www.transfermarkt.pt/hugo-ekitike/profil/spieler/709726,Ponta de Lança,23,França|Camarões,"90,00 M €",90000000,https://www.transfermarkt.pt/liverpool-fc/kader/verein/31/saison_id/2025
GB1,2025,148,Tottenham Hotspur,286047,Guglielmo Vicario,https://www.transfermarkt.pt/guglielmo-vicario/profil/spieler/286047,Guarda-Redes,29,Itália,"23,00 M €",23000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,725912,Antonín Kinský,https://www.transfermarkt.pt/antonin-kinsky/profil/spieler/725912,Guarda-Redes,23,República Checa,"13,00 M €",13000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,428016,Brandon Austin,https://www.transfermarkt.pt/brandon-austin/profil/spieler/428016,Guarda-Redes,27,Inglaterra|Estados Unidos,500 mil €,500000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,557459,Micky van de Ven,https://www.transfermarkt.pt/micky-van-de-ven/profil/spieler/557459,Defesa Central,24,Holanda,"65,00 M €",65000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,355915,Cristian Romero,https://www.transfermarkt.pt/cristian-romero/profil/spieler/355915,Defesa Central,27,Argentina,"50,00 M €",50000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,568559,Radu Drăgușin,https://www.transfermarkt.pt/radu-dragusin/profil/spieler/568559,Defesa Central,24,Roménia,"20,00 M €",20000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,263236,Kevin Danso,https://www.transfermarkt.pt/kevin-danso/profil/spieler/263236,Defesa Central,27,Áustria,"20,00 M €",20000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,192765,Ben Davies,https://www.transfermarkt.pt/ben-davies/profil/spieler/192765,Defesa Central,32,País de Gales,"5,00 M €",5000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,556385,Destiny Udogie,https://www.transfermarkt.pt/destiny-udogie/profil/spieler/556385,Lateral Esquerdo,23,Itália|Nigéria,"35,00 M €",35000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,483348,Djed Spence,https://www.transfermarkt.pt/djed-spence/profil/spieler/483348,Lateral Esquerdo,25,Inglaterra|Jamaica,"30,00 M €",30000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,1086258,Souza,https://www.transfermarkt.pt/souza/profil/spieler/1086258,Lateral Esquerdo,19,Brasil,"12,00 M €",12000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,553875,Pedro Porro,https://www.transfermarkt.pt/pedro-porro/profil/spieler/553875,Lateral Direito,26,Espanha,"40,00 M €",40000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,354362,Rodrigo Bentancur,https://www.transfermarkt.pt/rodrigo-bentancur/profil/spieler/354362,Médio Defensivo,28,Uruguai,"22,00 M €",22000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,257455,João Palhinha,https://www.transfermarkt.pt/joao-palhinha/profil/spieler/257455,Médio Defensivo,30,Portugal,"18,00 M €",18000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,410425,Yves Bissouma,https://www.transfermarkt.pt/yves-bissouma/profil/spieler/410425,Médio Defensivo,29,Mali|Costa do Marfim,"12,00 M €",12000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,866246,Lucas Bergvall,https://www.transfermarkt.pt/lucas-bergvall/profil/spieler/866246,Médio Centro,20,Suécia,"40,00 M €",40000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,922693,Archie Gray,https://www.transfermarkt.pt/archie-gray/profil/spieler/922693,Médio Centro,20,Inglaterra|Escócia,"35,00 M €",35000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,488362,Conor Gallagher,https://www.transfermarkt.pt/conor-gallagher/profil/spieler/488362,Médio Centro,26,Inglaterra,"35,00 M €",35000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,568693,Pape Matar Sarr,https://www.transfermarkt.pt/pape-matar-sarr/profil/spieler/568693,Médio Centro,23,Senegal,"32,00 M €",32000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,566931,Xavi Simons,https://www.transfermarkt.pt/xavi-simons/profil/spieler/566931,Médio Ofensivo,22,Holanda|Suriname,"50,00 M €",50000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,431755,Dejan Kulusevski,https://www.transfermarkt.pt/dejan-kulusevski/profil/spieler/431755,Médio Ofensivo,25,Suécia|Macedónia do Norte,"35,00 M €",35000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,294057,James Maddison,https://www.transfermarkt.pt/james-maddison/profil/spieler/294057,Médio Ofensivo,29,Inglaterra|Irlanda,"25,00 M €",25000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,743498,Wilson Odobert,https://www.transfermarkt.pt/wilson-odobert/profil/spieler/743498,Extremo Esquerdo,21,França|Martinica,"20,00 M €",20000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,543499,Mohammed Kudus,https://www.transfermarkt.pt/mohammed-kudus/profil/spieler/543499,Extremo Direito,25,Gana,"55,00 M €",55000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
GB1,2025,148,Tottenham Hotspur,258889,Dominic Solanke,https://www.transfermarkt.pt/dominic-solanke/profil/spieler/258889,Ponta de Lança,28,Inglaterra|Nigéria,"35,00 M €",35000000,https://www.transfermarkt.pt/tottenham-hotspur/kader/verein/148/saison_id/2025
